ebs,mufredat,ad,sz,hoca,yy
BİL408,BİL408,YAZILIM TEST SÜREÇLERİ,S,Yrd.Doç.Dr. Recai OKTAŞ,8
BİL411,BİL411,BİLGİSAYAR AĞLARI LABORATUVARI,S,Yrd.Doç.Dr. Kerem ERZURUMLU,7
BİL412,BİL412,BİLGİSAYAR AĞLARI LABORATUVARI,S,Yrd.Doç.Dr. Kerem ERZURUMLU,8
BİL413,BİL413,YAZILIM MÜHENDİSLİĞİ LABORATUVARI,S,Yrd.Doç.Dr. Gökhan KAYHAN,7
BİL414,BİL414,YAZILIM MÜHENDİSLİĞİ LABORATUVARI,S,Yrd.Doç.Dr. Gökhan KAYHAN,8
BİL415,BİL415,GÖRÜNTÜ İŞLEME LABORATUVARI,S,Yrd.Doç.Dr. Nurettin ŞENYER,7
BİL416,BİL416,BİLGİSAYARLI GÖRÜ LABORATUVARI,S,Yrd.Doç.Dr. Nurettin ŞENYER,8
BİL418,BİL418,YAZILIM TEST SÜREÇLERİ LABORATUVARI,S,Yrd.Doç.Dr. Recai OKTAŞ,8
BİL419,BİL419,SEMİNER,Z,Yrd.Doç.Dr. Kerem ERZURUMLU,7
BİL421,BİL421,PROJE - I,Z,Bilgisayar Mühendisliği Bölümü,7
BİL422,BİL422,PROJE - II,Z,Bilgisayar Mühendisliği Bölümü,8
BİL423,BİL423,PROGRAMLAMA DİLLERİ,S,Yrd.Doç.Dr. Recai OKTAŞ,7
BİL424,BİL424,COĞRAFİ BİLGİ SİSTEMLERİ,S,Yrd.Doç.Dr. Kerem ERZURUMLU,8
BİL425,BİL425,ALGORİTMA ANALİZİ,S,Yrd.Doç.Dr. Nurettin ŞENYER,7
BİL426,BİL426,PROGRAMLAMADA ÖZEL KONULAR,S,Yrd.Doç.Dr. Recai OKTAŞ,8
BİL427,BİL427,DERLEYİCİ TASARIMI,S,Öğr.Gör. İsmail İŞERİ,7
BİL428,BİL428,PROJE YÖNETİMİ,S,Yrd.Doç.Dr. Gökhan KAYHAN,8
BİL429,BİL429,MAKİNE ÖĞRENİMİNE GİRİŞ,S,Yrd.Doç.Dr. Nurettin ŞENYER,7
BİL431,BİL431,BİLGİ GÜVENLİĞİ,S,Yrd.Doç.Dr. Kerem ERZURUMLU,7
BİL432,BİL432,GÜVENLİ PROGRAMLAMA,S,Yrd.Doç.Dr. Kerem ERZURUMLU,8
BİL433,BİL433,BİLGİSAYAR GRAFİĞİ,S,Öğr.Gör. İsmail İŞERİ,7
BİL434,BİL434,COĞRAFİ BİLGİ SİSTEMLERİ Lab.,S,Yrd.Doç.Dr. Kerem ERZURUMLU,8
BİL435,BİL435,HESAPEDİLEBİLİRLİK KURAMI,S,Yrd.Doç.Dr. Sedat AKLEYLEK,7
BİL436,BİL436,BİLGİ TEORİSİ,S,Yrd.Doç.Dr. Sedat AKLEYLEK,8
BİL437,BİL437,KOMBİNATORİK,S,Yrd.Doç.Dr. Sedat AKLEYLEK,7
BİL438,BİL438,KODLAMA TEORİSİ,S,Yrd.Doç.Dr. Sedat AKLEYLEK,8
BİL439,BİL439,KRİPTOGRAFİYE GİRİŞ,S,Yrd.Doç.Dr. Sedat AKLEYLEK,7
BİL441,BİL441,YAPAY ZEKA,S,Doç.Dr. Erdal KILIÇ,7
BİL442,BİL442,PROLOG,S,Doç.Dr. Erdal KILIÇ,8
BİL443,BİL443,ROBOTİK,S,Doç.Dr. Erdal KILIÇ,7
BİL444,BİL444,SAYISAL İŞARET İŞLEME,S,Doç.Dr. Erdal KILIÇ,8
BİL445,BİL445,BULANIK MANTIK,S,Doç.Dr. Erdal KILIÇ,7
BİL446,BİL446,YAPAY SİNİR AĞLARI,S,Doç.Dr. Erdal KILIÇ,8
BİL447,BİL447,OYUN PROGRAMLAMA,S,Öğr.Gör. İsmail İŞERİ,7
BİL448,BİL448,ALAN PROGRAMLANABİLİR KAPI DİZİLERİ,S,Doç.Dr. Erdal KILIÇ,8
BİL449,BİL449,MOBİL AĞLAR,S,Yrd.Doç.Dr. Kerem ERZURUMLU,7
BİL451,BİL451,BİLGİSAYAR AĞLARINDA ÖZEL KONULAR,S,Yrd.Doç.Dr. Kerem ERZURUMLU,7
BİL452,BİL452,KRİTİK ALTYAPILAR VE GÜVENLİĞİ,S,Yrd.Doç.Dr. Kerem ERZURUMLU,8
BİL453,BİL453,BİLGİSAYAR MÜH. ÖZEL KONULAR - I,S,Yrd.Doç.Dr. Sedat AKLEYLEK,7
BİL454,BİL454,BİLGİSAYAR MÜH. ÖZEL KONULAR - II,S,Yrd.Doç.Dr. Sedat AKLEYLEK,8
BİL455,BİL455,İNSAN BİLGİSAYAR ARAYÜZÜ,S,Yrd.Doç.Dr. Nurettin ŞENYER,7
BİL456,BİL456,TIBBİ BİŞİLİME GİRİŞ,S,Prof.Dr. Bünyamin KARABULUT,8
BİL457,BİL457,FİNANSAL MATEMATİK,S,Yrd.Doç.Dr. Sedat AKLEYLEK,7
BİL458,BİL458,MÜHENDİSLİK EKONOMİSİ,S,Mühendislik Fakültesi,8
BİL462,BİL462,ADLİ BİLİŞİM,S,Yrd.Doç.Dr. Kerem ERZURUMLU,8
BİL473,BİL473,VERİ TABANI LABORATUVARI,S,Öğr.Gör. İsmail İŞERİ,7
BİL474,BİL474,VERİ TABANI LABORATUVARI,S,Öğr.Gör. İsmail İŞERİ,8
